id,scale,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
MO_BS_AR,1000000.000000000000000000000000,11598.000000000000,7084.000000000000,8839.000000000000,13102.000000000000,14200.000000000000,9700.000000000000,10788.000000000000,17460.000000000000,16709.000000000000,10905.000000000000,10370.000000000000,16849.000000000000,12953.000000000000
MO_BS_INV,1000000.000000000000000000000000,1455.000000000000,1245.000000000000,1697.000000000000,1764.000000000000,2122.000000000000,1829.000000000000,1594.000000000000,2111.000000000000,2283.000000000000,2396.000000000000,2042.000000000000,2349.000000000000,2451.000000000000
MO_BS_CA,1000000.000000000000000000000000,72348.000000000000,63337.000000000000,68219.000000000000,73286.000000000000,80347.000000000000,70541.000000000000,67949.000000000000,68531.000000000000,83403.000000000000,67891.000000000000,70953.000000000000,89378.000000000000,76219.000000000000
MO_BS_PPE,1000000.000000000000000000000000,15422.000000000000,15026.000000000000,16327.000000000000,16597.000000000000,15488.000000000000,15120.000000000000,17585.000000000000,20624.000000000000,20392.000000000000,20151.000000000000,21149.000000000000,22471.000000000000,22300.000000000000
MO_BS_Goodwill,1000000.000000000000000000000000,1381.000000000000,1400.000000000000,1522.000000000000,1577.000000000000,2022.000000000000,2055.000000000000,2374.000000000000,4616.000000000000,4629.000000000000,4711.000000000000,5044.000000000000,5116.000000000000,5202.000000000000
MO_BS_Intangibles,1000000.000000000000000000000000,4462.000000000000,4136.000000000000,4353.000000000000,4179.000000000000,4105.000000000000,3928.000000000000,3767.000000000000,4142.000000000000,4370.000000000000,4061.000000000000,3779.000000000000,3893.000000000000,3924.000000000000
MO_BS_NCA,1000000.000000000000000000000000,123740.000000000000,131406.000000000000,131637.000000000000,133714.000000000000,144837.000000000000,135448.000000000000,154571.000000000000,163308.000000000000,178491.000000000000,193303.000000000000,202198.000000000000,201101.000000000000,217065.000000000000
MO_BS_TA,1000000.000000000000000000000000,196088.000000000000,194743.000000000000,199856.000000000000,207000.000000000000,225184.000000000000,205989.000000000000,222520.000000000000,231839.000000000000,261894.000000000000,261194.000000000000,273151.000000000000,290479.000000000000,293284.000000000000
MO_BS_AP,1000000.000000000000000000000000,26398.000000000000,14912.000000000000,15516.000000000000,22367.000000000000,29588.000000000000,18914.000000000000,20535.000000000000,30196.000000000000,38001.000000000000,23159.000000000000,26474.000000000000,35490.000000000000,33312.000000000000
MO_BS_CL,1000000.000000000000000000000000,46879.000000000000,35508.000000000000,36319.000000000000,43658.000000000000,53769.000000000000,43208.000000000000,46205.000000000000,63448.000000000000,73611.000000000000,58729.000000000000,65285.000000000000,80610.000000000000,76092.000000000000
MO_BS_NCL,1000000.000000000000000000000000,21863.000000000000,23745.000000000000,40183.000000000000,39793.000000000000,41731.000000000000,42602.000000000000,55375.000000000000,56844.000000000000,64955.000000000000,73459.000000000000,82189.000000000000,90514.000000000000,88925.000000000000
MO_BS_TL,1000000.000000000000000000000000,68742.000000000000,59253.000000000000,76502.000000000000,83451.000000000000,95500.000000000000,85810.000000000000,101580.000000000000,120292.000000000000,138566.000000000000,132188.000000000000,147474.000000000000,171124.000000000000,165017.000000000000
MO_BS_CommonStock,1000000.000000000000000000000000,17167.000000000000,17954.000000000000,19024.000000000000,19764.000000000000,20559.000000000000,21496.000000000000,22139.000000000000,23313.000000000000,24187.000000000000,25376.000000000000,26327.000000000000,27416.000000000000,28253.000000000000
MO_BS_SE,1000000.000000000000000000000000,127346.000000000000,135490.000000000000,123354.000000000000,123549.000000000000,129684.000000000000,120179.000000000000,120940.000000000000,111547.000000000000,123328.000000000000,129006.000000000000,125677.000000000000,119355.000000000000,128267.000000000000
MO_BS_NCI,1000000.000000000000000000000000,,,,,,,,,,,,,
MO_BS_TLSE,1000000.000000000000000000000000,196088.000000000000,194743.000000000000,199856.000000000000,207000.000000000000,225184.000000000000,205989.000000000000,222520.000000000000,231839.000000000000,261894.000000000000,261194.000000000000,273151.000000000000,290479.000000000000,293284.000000000000
