id,scale,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
MO_BS_AR,1000000.000000000000000000000000,7612.000000000000,7321.000000000000,7921.000000000000,8882.000000000000,7827.000000000000,8321.000000000000,8237.000000000000,9383.000000000000,8584.000000000000,9394.000000000000,9749.000000000000,11556.000000000000
MO_BS_INV,1000000.000000000000000000000000,648.000000000000,342.000000000000,235.000000000000,0E-12,337.000000000000,293.000000000000,279.000000000000,0E-12,0E-12,0E-12,0E-12,
MO_BS_CA,1000000.000000000000000000000000,62808.000000000000,66861.000000000000,68858.000000000000,72886.000000000000,75314.000000000000,77905.000000000000,80115.000000000000,79978.000000000000,80313.000000000000,84164.000000000000,88103.000000000000,90114.000000000000
MO_BS_PPE,1000000.000000000000000000000000,12300.000000000000,12912.000000000000,14867.000000000000,16524.000000000000,17877.000000000000,19486.000000000000,20981.000000000000,23883.000000000000,25448.000000000000,27008.000000000000,28338.000000000000,29016.000000000000
MO_BS_Intangibles,1000000.000000000000000000000000,7324.000000000000,6558.000000000000,6290.000000000000,6066.000000000000,5317.000000000000,5234.000000000000,4744.000000000000,4607.000000000000,4380.000000000000,4213.000000000000,4023.000000000000,3847.000000000000
MO_BS_Goodwill,1000000.000000000000000000000000,10595.000000000000,11396.000000000000,11426.000000000000,11492.000000000000,14177.000000000000,14586.000000000000,15461.000000000000,15599.000000000000,15573.000000000000,15610.000000000000,15675.000000000000,15869.000000000000
MO_BS_NCA,1000000.000000000000000000000000,33884.000000000000,34321.000000000000,36210.000000000000,38034.000000000000,41212.000000000000,43703.000000000000,45666.000000000000,50448.000000000000,53087.000000000000,54643.000000000000,56178.000000000000,57347.000000000000
MO_BS_TA,1000000.000000000000000000000000,96692.000000000000,101182.000000000000,105068.000000000000,110920.000000000000,116526.000000000000,121608.000000000000,125781.000000000000,130426.000000000000,133400.000000000000,138807.000000000000,144281.000000000000,147461.000000000000
MO_BS_AP,1000000.000000000000000000000000,2094.000000000000,1758.000000000000,2124.000000000000,2453.000000000000,1623.000000000000,1345.000000000000,1368.000000000000,1715.000000000000,1688.000000000000,1315.000000000000,1549.000000000000,1931.000000000000
MO_BS_CL,1000000.000000000000000000000000,13252.000000000000,15329.000000000000,14475.000000000000,15908.000000000000,16270.000000000000,17097.000000000000,17920.000000000000,16805.000000000000,14336.000000000000,17362.000000000000,18457.000000000000,19310.000000000000
MO_BS_NCL,1000000.000000000000000000000000,7967.000000000000,7001.000000000000,7604.000000000000,7703.000000000000,8545.000000000000,8762.000000000000,9046.000000000000,9761.000000000000,10616.000000000000,9662.000000000000,9583.000000000000,7820.000000000000
MO_BS_TL,1000000.000000000000000000000000,21219.000000000000,22330.000000000000,22079.000000000000,23611.000000000000,24815.000000000000,25859.000000000000,26966.000000000000,26566.000000000000,24952.000000000000,27024.000000000000,28040.000000000000,27130.000000000000
MO_BS_CommonStock,1000000.000000000000000000000000,23429.000000000000,24334.000000000000,25004.000000000000,25922.000000000000,26652.000000000000,27111.000000000000,27948.000000000000,28767.000000000000,29527.000000000000,30722.000000000000,31864.000000000000,32982.000000000000
MO_BS_SE,1000000.000000000000000000000000,75473.000000000000,78852.000000000000,82989.000000000000,87309.000000000000,91711.000000000000,95749.000000000000,98815.000000000000,103860.000000000000,108448.000000000000,111783.000000000000,116241.000000000000,120331.000000000000
MO_BS_NCI,1000000.000000000000000000000000,,,,,,,,,,,,
MO_BS_TLSE,1000000.000000000000000000000000,96692.000000000000,101182.000000000000,105068.000000000000,110920.000000000000,116526.000000000000,121608.000000000000,125781.000000000000,130426.000000000000,133400.000000000000,138807.000000000000,144281.000000000000,147461.000000000000
