id,scale,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
MO_BS_AR,1000000.000000000000000000000000,1684.000000000000,1648.000000000000,1562.000000000000,1670.000000000000,1618.000000000000,1615.000000000000,1633.000000000000,1729.000000000000,1909.000000000000,1829.000000000000,1769.000000000000,1735.000000000000,1522.000000000000,1398.000000000000
MO_BS_INV,1000000.000000000000000000000000,845.000000000000,800.000000000000,833.000000000000,854.000000000000,871.000000000000,948.000000000000,846.000000000000,985.000000000000,1071.000000000000,1129.000000000000,1083.000000000000,993.000000000000,1098.000000000000,1046.000000000000
MO_BS_CA,1000000.000000000000000000000000,5749.000000000000,5017.000000000000,4987.000000000000,5412.000000000000,5625.000000000000,5289.000000000000,5151.000000000000,5777.000000000000,5583.000000000000,6632.000000000000,5831.000000000000,5568.000000000000,4882.000000000000,3931.000000000000
MO_BS_PPE,1000000.000000000000000000000000,2243.000000000000,2228.000000000000,2256.000000000000,2269.000000000000,2187.000000000000,2128.000000000000,2065.000000000000,2136.000000000000,2156.000000000000,2155.000000000000,2182.000000000000,2278.000000000000,2247.000000000000,2230.000000000000
MO_BS_Goodwill,1000000.000000000000000000000000,475.000000000000,476.000000000000,476.000000000000,476.000000000000,477.000000000000,477.000000000000,477.000000000000,537.000000000000,873.000000000000,872.000000000000,871.000000000000,874.000000000000,874.000000000000,1238.000000000000
MO_BS_Intangibles,1000000.000000000000000000000000,517.000000000000,480.000000000000,442.000000000000,405.000000000000,369.000000000000,329.000000000000,304.000000000000,359.000000000000,468.000000000000,449.000000000000,410.000000000000,370.000000000000,329.000000000000,535.000000000000
MO_BS_NCA,1000000.000000000000000000000000,3773.000000000000,3725.000000000000,3756.000000000000,3831.000000000000,3720.000000000000,3601.000000000000,3508.000000000000,3715.000000000000,4182.000000000000,4182.000000000000,4205.000000000000,4277.000000000000,4197.000000000000,4865.000000000000
MO_BS_TA,1000000.000000000000000000000000,9522.000000000000,8742.000000000000,8743.000000000000,9243.000000000000,9345.000000000000,8890.000000000000,8659.000000000000,9492.000000000000,9765.000000000000,10814.000000000000,10036.000000000000,9845.000000000000,9079.000000000000,8796.000000000000
MO_BS_AP,1000000.000000000000000000000000,1808.000000000000,1685.000000000000,1698.000000000000,1690.000000000000,1683.000000000000,1577.000000000000,1345.000000000000,1549.000000000000,1740.000000000000,1736.000000000000,1683.000000000000,1540.000000000000,1890.000000000000,1759.000000000000
MO_BS_CL,1000000.000000000000000000000000,2753.000000000000,2643.000000000000,2601.000000000000,2611.000000000000,2514.000000000000,2457.000000000000,2162.000000000000,2398.000000000000,2596.000000000000,2819.000000000000,3043.000000000000,2343.000000000000,2718.000000000000,2539.000000000000
MO_BS_NCL,1000000.000000000000000000000000,3234.000000000000,3174.000000000000,2830.000000000000,3126.000000000000,3142.000000000000,3938.000000000000,3859.000000000000,4262.000000000000,4223.000000000000,4280.000000000000,3802.000000000000,4484.000000000000,4439.000000000000,4436.000000000000
MO_BS_TL,1000000.000000000000000000000000,5987.000000000000,5817.000000000000,5431.000000000000,5737.000000000000,5656.000000000000,6395.000000000000,6021.000000000000,6660.000000000000,6819.000000000000,7099.000000000000,6845.000000000000,6827.000000000000,7157.000000000000,6975.000000000000
MO_BS_CommonStock,1000000.000000000000000000000000,5124.000000000000,5154.000000000000,5239.000000000000,5286.000000000000,5352.000000000000,5404.000000000000,5471.000000000000,5511.000000000000,5580.000000000000,5621.000000000000,5696.000000000000,5734.000000000000,5803.000000000000,5836.000000000000
MO_BS_SE,1000000.000000000000000000000000,3483.000000000000,2911.000000000000,3299.000000000000,3495.000000000000,3678.000000000000,2495.000000000000,2638.000000000000,2832.000000000000,2946.000000000000,3715.000000000000,3191.000000000000,3018.000000000000,1922.000000000000,1821.000000000000
MO_BS_NCI,1000000.000000000000000000000000,52.000000000000,14.000000000000,13.000000000000,11.000000000000,11.000000000000,,,0E-12,,,,0E-12,,
MO_BS_TLSE,1000000.000000000000000000000000,9522.000000000000,8742.000000000000,8743.000000000000,9243.000000000000,9345.000000000000,8890.000000000000,8659.000000000000,9492.000000000000,9765.000000000000,10814.000000000000,10036.000000000000,9845.000000000000,9079.000000000000,8796.000000000000
